День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Пол,Возраст,№ Объявления,Заголовок,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,выборг петрович,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,35-44 года,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,каталог петрович в выборге,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,пеностекло как утеплитель дома купить,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,Мужской,45-54 года,1915802914729060647,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,0.52,0.00,51.60,3.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,пеностекло как утеплитель дома купить,Альтернативные запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,Женский,35-44 года,1915802914729060647,Производитель термопанелей в Ленобласти,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Мужской,45-54 года,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,2,1,0,0.00,-,50.00,0.00,2.31,43.38,115.25,1.00,1.00
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Мужской,Старше 55,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.39,0.00,38.67,2.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Спецразмещение,Женский,35-44 года,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.11,0.00,10.53,3.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,35-44 года,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,3,0,0,-,-,0.00,-,0.26,0.00,8.50,5.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,Старше 55,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
27.07.2026,Группа 3 - клинкер (продуктовая),5773902142,Автотаргетинг,,-,0,-,0,петрович выборг,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Женский,25-34 года,1915802914729060647,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
